5.00, 5.00, 0.00, 0.00, 6.80, 6.80
5.00, 5.00, 0.00, 0.00, 6.85, 6.85
5.01, 5.01, 0.00, 0.00, 6.95, 6.95
5.05, 5.05, 0.05, 0.04, 5.70, 6.09
5.08, 5.09, 0.08, 0.08, 4.79, 5.06
5.12, 5.13, 0.12, 0.12, 3.70, 4.08
5.16, 5.16, 0.15, 0.15, 2.83, 3.24
5.20, 5.20, 0.15, 0.15, 3.23, 3.64
5.23, 5.24, 0.17, 0.17, 2.76, 2.86
5.27, 5.28, 0.18, 0.18, 2.96, 3.06
5.31, 5.31, 0.20, 0.19, 2.40, 2.73
5.35, 5.35, 0.20, 0.20, 2.58, 2.80
5.38, 5.39, 0.21, 0.21, 2.27, 2.64
5.42, 5.43, 0.21, 0.21, 2.76, 2.65
5.46, 5.46, 0.23, 0.23, 2.07, 2.20
5.50, 5.50, 0.23, 0.23, 2.27, 2.39
5.53, 5.54, 0.23, 0.24, 2.39, 2.18
5.57, 5.57, 0.24, 0.24, 2.30, 2.06
5.61, 5.61, 0.24, 0.24, 2.42, 2.50
5.65, 5.65, 0.25, 0.25, 1.96, 2.00
5.68, 5.69, 0.25, 0.25, 2.38, 2.17
5.72, 5.73, 0.25, 0.26, 2.20, 1.92
5.76, 5.76, 0.27, 0.27, 1.71, 1.75
5.79, 5.80, 0.25, 0.26, 2.41, 2.11
5.83, 5.84, 0.27, 0.27, 1.89, 1.91
5.87, 5.88, 0.26, 0.27, 2.28, 1.97
5.91, 5.91, 0.27, 0.27, 2.08, 2.08
5.94, 5.95, 0.27, 0.27, 2.14, 2.14
5.98, 5.99, 0.28, 0.27, 1.91, 2.23
6.02, 6.03, 0.28, 0.28, 1.96, 1.66
6.06, 6.06, 0.28, 0.28, 2.04, 1.70
6.09, 6.10, 0.29, 0.28, 1.42, 1.74
6.13, 6.14, 0.28, 0.28, 2.11, 2.11
6.17, 6.17, 0.28, 0.28, 1.85, 1.85
6.21, 6.21, 0.28, 0.28, 2.22, 1.88
6.24, 6.25, 0.29, 0.28, 1.62, 1.93
6.28, 6.29, 0.28, 0.29, 2.31, 1.64
6.32, 6.32, 0.28, 0.28, 2.37, 1.99
6.36, 6.36, 0.30, 0.31, 1.42, 1.00
6.39, 6.40, 0.28, 0.28, 2.43, 2.02
6.43, 6.44, 0.29, 0.30, 1.83, 1.39
6.47, 6.47, 0.28, 0.28, 2.19, 2.06
6.51, 6.51, 0.29, 0.28, 1.90, 2.10
6.54, 6.55, 0.29, 0.29, 1.92, 1.82
6.58, 6.59, 0.29, 0.29, 1.95, 1.84
6.62, 6.62, 0.28, 0.29, 2.30, 1.86
6.66, 6.66, 0.29, 0.29, 2.01, 1.88
6.69, 6.70, 0.31, 0.31, 1.33, 1.21
6.73, 6.74, 0.28, 0.29, 2.35, 1.89
6.77, 6.77, 0.30, 0.30, 1.72, 1.57
6.81, 6.81, 0.28, 0.29, 2.39, 1.91
6.84, 6.85, 0.30, 0.29, 1.76, 1.93
6.88, 6.89, 0.28, 0.30, 2.44, 1.62
6.92, 6.92, 0.29, 0.29, 2.15, 1.96
6.96, 6.96, 0.29, 0.30, 2.17, 1.64
6.99, 7.00, 0.30, 0.31, 1.85, 1.30
7.03, 7.03, 0.30, 0.30, 1.86, 1.62
7.07, 7.07, 0.29, 0.28, 2.20, 2.30
7.11, 7.11, 0.30, 0.30, 1.88, 1.67
7.14, 7.15, 0.29, 0.28, 2.22, 2.34
7.18, 7.19, 0.29, 0.29, 2.25, 2.06
7.22, 7.22, 0.29, 0.29, 2.27, 2.08
7.26, 7.26, 0.28, 0.28, 2.63, 2.43
7.29, 7.30, 0.31, 0.31, 1.63, 1.44
7.33, 7.34, 0.28, 0.28, 2.65, 2.46
7.37, 7.37, 0.29, 0.29, 2.36, 2.17
7.41, 7.41, 0.28, 0.29, 2.71, 2.19
7.44, 7.45, 0.29, 0.28, 2.43, 2.55
7.48, 7.49, 0.28, 0.29, 2.78, 2.26
7.52, 7.52, 0.28, 0.28, 3.16, 2.61
7.55, 7.56, 0.28, 0.28, 2.90, 3.01
