0 , 0.00 , 0.00
2 , 0.00 , 0.00
3 , 0.00 , 0.00
5 , 0.00 , 0.00
6 , 0.00 , 0.00
21 , 0.02 , 0.02
41 , 0.05 , 0.05
59 , 0.06 , 0.08
78 , 0.09 , 0.09
96 , 0.10 , 0.11
115 , 0.13 , 0.13
135 , 0.12 , 0.14
154 , 0.15 , 0.17
175 , 0.16 , 0.16
194 , 0.17 , 0.17
214 , 0.17 , 0.19
233 , 0.20 , 0.21
254 , 0.19 , 0.21
273 , 0.20 , 0.21
293 , 0.20 , 0.23
313 , 0.23 , 0.23
332 , 0.22 , 0.25
352 , 0.22 , 0.25
372 , 0.25 , 0.26
392 , 0.22 , 0.24
411 , 0.26 , 0.28
431 , 0.23 , 0.26
451 , 0.26 , 0.28
471 , 0.24 , 0.26
490 , 0.26 , 0.29
511 , 0.25 , 0.28
530 , 0.26 , 0.28
550 , 0.25 , 0.29
569 , 0.28 , 0.29
590 , 0.25 , 0.28
609 , 0.28 , 0.31
628 , 0.28 , 0.31
649 , 0.28 , 0.28
668 , 0.26 , 0.31
688 , 0.26 , 0.29
708 , 0.29 , 0.31
728 , 0.25 , 0.29
747 , 0.29 , 0.31
767 , 0.28 , 0.31
787 , 0.28 , 0.31
807 , 0.26 , 0.29
826 , 0.28 , 0.32
847 , 0.28 , 0.29
866 , 0.28 , 0.32
885 , 0.28 , 0.32
906 , 0.28 , 0.31
925 , 0.28 , 0.31
945 , 0.28 , 0.31
964 , 0.29 , 0.32
985 , 0.28 , 0.31
1004 , 0.28 , 0.32
1025 , 0.28 , 0.31
1046 , 0.29 , 0.32
1067 , 0.26 , 0.32
1087 , 0.29 , 0.32
1109 , 0.28 , 0.32
1129 , 0.28 , 0.32
1150 , 0.29 , 0.32
1171 , 0.29 , 0.35
1192 , 0.28 , 0.30
1212 , 0.29 , 0.34
1233 , 0.29 , 0.33
1254 , 0.31 , 0.33
1275 , 0.28 , 0.33
1295 , 0.31 , 0.35
1317 , 0.28 , 0.32
1337 , 0.29 , 0.35
1358 , 0.29 , 0.35
1379 , 0.31 , 0.33
1400 , 0.28 , 0.33
1420 , 0.31 , 0.35
1441 , 0.31 , 0.35
1462 , 0.28 , 0.30
1482 , 0.31 , 0.35
1504 , 0.29 , 0.33
1524 , 0.29 , 0.32
1545 , 0.29 , 0.33
1565 , 0.31 , 0.34
1587 , 0.29 , 0.32
1607 , 0.29 , 0.34
1628 , 0.29 , 0.32
1649 , 0.31 , 0.32
1670 , 0.28 , 0.33
1690 , 0.31 , 0.34
1712 , 0.29 , 0.30
1732 , 0.29 , 0.34
1753 , 0.31 , 0.32
1774 , 0.31 , 0.34
1795 , 0.28 , 0.32
1815 , 0.31 , 0.34
1837 , 0.29 , 0.32
1857 , 0.29 , 0.32
1878 , 0.31 , 0.32
1898 , 0.31 , 0.34
1920 , 0.29 , 0.30
1940 , 0.29 , 0.34
1961 , 0.29 , 0.32
1982 , 0.31 , 0.32
2003 , 0.28 , 0.32
2023 , 0.31 , 0.34
2045 , 0.29 , 0.30
2065 , 0.29 , 0.34
2086 , 0.29 , 0.32
2107 , 0.31 , 0.34
2128 , 0.28 , 0.30
2148 , 0.31 , 0.34
2170 , 0.31 , 0.31
2190 , 0.29 , 0.32
2211 , 0.29 , 0.32
2231 , 0.31 , 0.34
2252 , 0.32 , 0.32
2273 , 0.28 , 0.32
2293 , 0.31 , 0.34
