0.00, 0.00, 0.00
1.00, 0.00, 0.00
3.00, 0.00, 0.00
4.00, 0.00, 0.00
8.00, 0.00, 0.00
26.00, 0.05, 0.03
46.00, 0.06, 0.06
66.00, 0.09, 0.09
86.00, 0.12, 0.10
105.00, 0.12, 0.12
127.00, 0.15, 0.14
147.00, 0.15, 0.15
168.00, 0.17, 0.16
189.00, 0.19, 0.19
210.00, 0.19, 0.18
230.00, 0.22, 0.19
252.00, 0.21, 0.21
272.00, 0.22, 0.22
293.00, 0.22, 0.21
314.00, 0.23, 0.23
335.00, 0.23, 0.24
355.00, 0.26, 0.24
376.00, 0.24, 0.25
397.00, 0.26, 0.26
417.00, 0.25, 0.26
438.00, 0.26, 0.25
459.00, 0.26, 0.28
480.00, 0.25, 0.28
500.00, 0.28, 0.26
522.00, 0.28, 0.28
542.00, 0.26, 0.28
563.00, 0.28, 0.28
584.00, 0.28, 0.29
605.00, 0.26, 0.28
625.00, 0.29, 0.28
647.00, 0.29, 0.29
667.00, 0.28, 0.29
688.00, 0.29, 0.28
708.00, 0.29, 0.29
730.00, 0.29, 0.29
750.00, 0.29, 0.29
771.00, 0.28, 0.29
792.00, 0.31, 0.31
813.00, 0.28, 0.29
833.00, 0.31, 0.29
855.00, 0.29, 0.29
875.00, 0.29, 0.31
896.00, 0.31, 0.29
917.00, 0.31, 0.31
938.00, 0.28, 0.29
958.00, 0.31, 0.31
980.00, 0.29, 0.29
1000.00, 0.29, 0.32
1022.00, 0.29, 0.29
1043.00, 0.31, 0.31
1066.00, 0.28, 0.30
1087.00, 0.32, 0.30
1109.00, 0.29, 0.29
1131.00, 0.29, 0.32
1153.00, 0.30, 0.29
1174.00, 0.31, 0.31
1197.00, 0.29, 0.30
1218.00, 0.31, 0.30
1240.00, 0.30, 0.29
1262.00, 0.32, 0.32
1284.00, 0.28, 0.29
1305.00, 0.32, 0.31
1328.00, 0.30, 0.30
1349.00, 0.30, 0.30
1371.00, 0.29, 0.30
1393.00, 0.32, 0.31
1415.00, 0.29, 0.29
1436.00, 0.31, 0.32
1459.00, 0.30, 0.30
1480.00, 0.29, 0.30
1502.00, 0.30, 0.30
1524.00, 0.31, 0.32
1546.00, 0.29, 0.30
1567.00, 0.31, 0.30
1590.00, 0.30, 0.30
1611.00, 0.29, 0.32
1633.00, 0.29, 0.29
1656.00, 0.32, 0.32
1677.00, 0.28, 0.30
1699.00, 0.30, 0.29
1721.00, 0.32, 0.32
1743.00, 0.28, 0.30
1764.00, 0.32, 0.30
1787.00, 0.29, 0.30
1808.00, 0.30, 0.31
1830.00, 0.30, 0.29
1852.00, 0.32, 0.32
1874.00, 0.28, 0.30
1895.00, 0.32, 0.30
1918.00, 0.30, 0.30
1939.00, 0.30, 0.32
1961.00, 0.29, 0.29
1983.00, 0.32, 0.32
2005.00, 0.28, 0.30
2026.00, 0.32, 0.30
2049.00, 0.29, 0.30
2070.00, 0.30, 0.32
2092.00, 0.29, 0.29
2114.00, 0.32, 0.33
2136.00, 0.28, 0.30
2157.00, 0.31, 0.30
2180.00, 0.30, 0.30
2201.00, 0.29, 0.32
2223.00, 0.30, 0.30
2245.00, 0.31, 0.32
2267.00, 0.29, 0.30
2288.00, 0.31, 0.30
2310.00, 0.30, 0.30
2332.00, 0.30, 0.32
2354.00, 0.29, 0.29
2375.00, 0.32, 0.32
2398.00, 0.29, 0.30
2419.00, 0.31, 0.30
2441.00, 0.30, 0.30
2463.00, 0.30, 0.32
2485.00, 0.29, 0.29
2506.00, 0.32, 0.33
2529.00, 0.28, 0.30
2550.00, 0.31, 0.30
2572.00, 0.30, 0.32
