0,0,0.00,0,0.00
6,0,0.00,0,0.00
24,2,111.11,2,111.11
47,7,217.39,8,260.87
70,16,391.31,17,391.31
95,28,479.99,29,479.99
120,44,640.01,45,640.01
146,64,759.98,65,759.98
172,86,851.87,87,814.83
198,111,923.08,111,961.54
226,140,1071.43,140,1035.72
256,174,1133.34,174,1100.01
287,210,1161.29,210,1161.29
316,249,1344.81,248,1310.33
347,290,1333.35,288,1290.32
377,332,1387.09,329,1400.01
406,376,1517.23,372,1482.74
437,422,1483.86,417,1451.61
467,469,1566.68,463,1533.35
498,518,1548.38,510,1516.12
527,567,1724.12,559,1689.64
558,618,1612.95,608,1580.69
588,669,1733.29,659,1699.96
618,721,1793.15,710,1700.02
648,775,1709.67,762,1733.35
679,828,1799.96,814,1733.29
708,883,1833.35,867,1766.68
738,938,1833.35,921,1766.68
769,994,1806.44,974,1741.93
799,1051,1866.68,1029,1833.35
831,1112,1906.22,1088,1812.47
863,1173,1937.52,1147,1875.02
896,1235,1878.79,1207,1787.88
928,1298,1937.47,1267,1906.22
960,1361,1968.78,1327,1875.02
992,1424,2000.03,1388,1906.27
1025,1488,1939.39,1449,1848.49
1058,1555,2030.30,1512,1909.09
1091,1622,2030.30,1576,1939.39
1124,1689,2030.30,1640,1939.39
1158,1757,1970.57,1704,1882.33
1191,1825,2060.61,1769,1969.70
1225,1893,1999.98,1834,1882.33
1257,1961,2125.03,1898,2031.28
1291,2029,2029.39,1963,1911.74
1324,2098,2060.61,2028,1969.70
1358,2166,2029.45,2093,1911.80
1390,2235,2124.96,2159,2031.22
1424,2304,2029.45,2224,1941.21
1457,2372,2090.91,2290,2000.00
1491,2441,2029.39,2356,1941.15
1524,2510,2090.91,2422,2000.00
1557,2580,2090.91,2488,2000.00
1590,2649,2121.21,2554,2000.00
1624,2719,2029.45,2621,1941.21
1657,2788,2121.21,2687,2030.30
1691,2858,2029.39,2753,1941.15
1723,2927,2187.53,2820,2093.78
1757,2997,2058.80,2887,1970.57
1790,3067,2121.21,2954,2030.30
1824,3138,2058.80,3021,1970.57
1856,3208,2218.78,3088,2093.78
1890,3278,2058.80,3155,1970.57
1923,3349,2121.21,3222,2030.30
1957,3419,2088.27,3289,1970.62
1990,3489,2121.21,3357,2030.30
2023,3560,2121.21,3424,2060.61
2056,3630,2151.52,3491,2030.30
2090,3701,2058.80,3558,1970.57
2123,3771,2151.52,3626,2030.30
2156,3842,2121.21,3693,2060.61
2189,3912,2151.52,3760,2030.30
2223,3983,2058.86,3828,1970.62
2256,4053,2151.52,3895,2060.61
2290,4124,2058.80,3963,1999.98
2322,4195,2218.78,4031,2093.78
2356,4266,2088.21,4099,1999.98
2389,4337,2151.52,4166,2060.61
2423,4408,2088.21,4234,1999.98
2455,4479,2250.03,4302,2093.78
2489,4550,2088.21,4370,1999.98
2522,4621,2151.52,4438,2060.61
2556,4693,2088.27,4506,2000.03
2589,4764,2181.82,4574,2060.61
2622,4835,2151.52,4642,2090.91
2655,4907,2151.52,4710,2060.61
2689,4978,2117.62,4778,1970.57
2722,5050,2151.52,4846,2090.91
2755,5121,2181.82,4914,2060.61
2788,5193,2181.82,4982,2060.61
2822,5265,2088.27,5051,2000.03
2855,5337,2181.82,5119,2090.91
2889,5409,2147.03,5188,1999.98
2921,5481,2250.03,5256,2156.28
2955,5553,2117.62,5324,1999.98
2988,5626,2181.82,5393,2090.91
