4999995 , 0.00 , 0.00
5001995 , 0.00 , 0.00
5002995 , 0.00 , 0.00
5004995 , 0.00 , 0.00
5028995 , 0.05 , 0.04
5052995 , 0.12 , 0.09
5075995 , 0.16 , 0.15
5100995 , 0.22 , 0.19
5124995 , 0.26 , 0.24
5147995 , 0.32 , 0.28
5172995 , 0.30 , 0.29
5195995 , 0.35 , 0.34
5220995 , 0.35 , 0.33
5243995 , 0.35 , 0.35
5267995 , 0.36 , 0.35
5292995 , 0.36 , 0.36
5315995 , 0.38 , 0.36
5339995 , 0.38 , 0.36
5363995 , 0.39 , 0.38
5387995 , 0.37 , 0.36
5410995 , 0.39 , 0.39
5435995 , 0.38 , 0.36
5458995 , 0.39 , 0.39
5482995 , 0.38 , 0.39
5507995 , 0.37 , 0.36
5530995 , 0.41 , 0.39
5555995 , 0.39 , 0.39
5578995 , 0.38 , 0.38
5602995 , 0.39 , 0.38
5626995 , 0.41 , 0.41
5650995 , 0.36 , 0.37
5674995 , 0.39 , 0.39
5698995 , 0.41 , 0.38
5722995 , 0.36 , 0.39
5745995 , 0.41 , 0.41
5770995 , 0.39 , 0.37
5793995 , 0.39 , 0.39
5818995 , 0.38 , 0.39
5841995 , 0.39 , 0.39
5865995 , 0.39 , 0.38
5890995 , 0.39 , 0.39
5913995 , 0.39 , 0.39
5937995 , 0.38 , 0.38
5961995 , 0.41 , 0.39
5985995 , 0.37 , 0.38
6008995 , 0.41 , 0.41
6033995 , 0.39 , 0.37
6056995 , 0.38 , 0.41
6080995 , 0.39 , 0.38
6105995 , 0.37 , 0.37
6128995 , 0.41 , 0.41
6153995 , 0.38 , 0.39
6176995 , 0.39 , 0.38
6200995 , 0.39 , 0.39
6224995 , 0.41 , 0.41
6248995 , 0.37 , 0.36
6272995 , 0.39 , 0.39
6296995 , 0.39 , 0.38
6320995 , 0.37 , 0.39
6343995 , 0.41 , 0.41
6368995 , 0.39 , 0.36
6391995 , 0.39 , 0.41
6416995 , 0.38 , 0.39
6439995 , 0.39 , 0.39
6463995 , 0.39 , 0.39
6488995 , 0.39 , 0.38
6511995 , 0.39 , 0.39
6535995 , 0.38 , 0.39
6559995 , 0.41 , 0.39
6583995 , 0.37 , 0.39
6606995 , 0.41 , 0.41
6631995 , 0.38 , 0.36
6655995 , 0.37 , 0.39
6678995 , 0.41 , 0.41
6703995 , 0.37 , 0.37
6726995 , 0.41 , 0.39
6751995 , 0.39 , 0.39
6774995 , 0.39 , 0.39
6798995 , 0.39 , 0.38
6822995 , 0.39 , 0.41
6846995 , 0.37 , 0.37
6870995 , 0.39 , 0.39
6894995 , 0.41 , 0.39
6918995 , 0.37 , 0.39
6941995 , 0.41 , 0.41
6966995 , 0.38 , 0.37
6989995 , 0.39 , 0.41
7013995 , 0.39 , 0.39
7037995 , 0.39 , 0.39
7061995 , 0.39 , 0.38
7086995 , 0.38 , 0.39
7109995 , 0.39 , 0.39
7133995 , 0.39 , 0.39
7157995 , 0.41 , 0.41
7181995 , 0.37 , 0.36
7204995 , 0.41 , 0.41
7229995 , 0.39 , 0.37
7253995 , 0.37 , 0.39
7276995 , 0.41 , 0.41
7301995 , 0.37 , 0.37
7324995 , 0.41 , 0.41
7349995 , 0.39 , 0.39
7372995 , 0.39 , 0.39
7396995 , 0.38 , 0.39
7420995 , 0.41 , 0.41
7444995 , 0.37 , 0.37
7468995 , 0.39 , 0.38
7492995 , 0.41 , 0.39
7516995 , 0.37 , 0.39
7539995 , 0.41 , 0.41
7564995 , 0.39 , 0.37
7587995 , 0.39 , 0.39
7611995 , 0.39 , 0.39
7635995 , 0.39 , 0.39
7659995 , 0.39 , 0.39
7684995 , 0.38 , 0.39
7707995 , 0.39 , 0.39
7731995 , 0.39 , 0.39
7755995 , 0.41 , 0.41
