1552775, 54.9105, 58.1184, 6.04541, 4.90353
1566534, 55.4435, 57.8717, 5.84619, 4.71977
1580348, 55.9567, 58.2961, 5.84826, 4.77504
1594117, 55.9271, 58.5034, 5.77399, 4.70575
1607997, 56.5687, 59.145, 5.79896, 4.6751
1621760, 56.9734, 58.9377, 5.69833, 4.56209
1635537, 57.4966, 59.1746, 5.6094, 4.45524
1649295, 57.4176, 59.5694, 5.55476, 4.56191
1663087, 57.7927, 59.5694, 5.58158, 4.49191
1676951, 57.9506, 59.5694, 5.59214, 4.49397
1690707, 57.615, 59.4115, 5.50649, 4.49604
1704462, 58.0098, 60.1518, 5.5792, 4.43339
1718219, 58.5922, 60.1616, 5.51669, 4.38942
1731975, 58.1579, 60.8032, 5.41715, 4.38684
1745733, 59.0463, 61.0895, 5.40357, 4.31579
1759490, 59.2141, 61.5534, 5.34509, 4.20965
1773500, 59.2733, 61.6817, 5.31823, 4.11751
1788394, 59.6089, 61.8397, 5.31091, 4.086
1803976, 60.517, 62.0469, 5.25153, 4.05204
1819687, 60.2406, 62.501, 5.08328, 4.00076
1835428, 60.6749, 61.9087, 5.11593, 3.97613
1851225, 60.7243, 62.3134, 5.04962, 4.00661
1866943, 60.9809, 61.9482, 5.03159, 3.92162
1882550, 61.1191, 62.0765, 4.98543, 3.97893
1897459, 61.1882, 62.58, 4.97702, 3.94553
1912249, 61.2672, 62.5997, 4.93708, 3.84124
1927045, 61.81, 62.8859, 4.89439, 3.82515
1941870, 61.8791, 63.3597, 4.80821, 3.75903
1956663, 61.5731, 63.1623, 4.81986, 3.65641
1971443, 62.0667, 63.6855, 4.83573, 3.67725
1985792, 62.1654, 63.6262, 4.73016, 3.62877
1999673, 61.8397, 64.1198, 4.70715, 3.5591
