0, -0, -00,0
1691441, 58.7205, 63.1919, 5.85441, 3.89578
1705193, 59.1055, 63.5868, 5.86903, 3.85657
1719056, 59.3917, 63.8829, 5.77007, 3.72261
1732884, 59.1647, 64.0112, 5.69608, 3.61355
1746631, 59.8557, 64.3468, 5.57841, 3.4025
1760379, 60.2505, 64.6725, 5.57134, 3.42253
1774131, 60.5663, 65.1167, 5.46143, 3.29967
1788363, 60.6058, 65.097, 5.40415, 3.14118
1803842, 61.6719, 65.324, 5.35654, 3.10986
1819304, 61.2968, 65.0081, 5.05259, 3.00933
1834783, 61.2079, 64.8502, 5.14595, 3.05973
1850236, 61.3856, 64.9193, 5.16158, 3.06803
1865700, 61.1684, 64.564, 5.10294, 3.11352
1881168, 61.2474, 65.2253, 5.15398, 3.08063
1896923, 60.9414, 65.0871, 5.04293, 2.84525
1912937, 61.6126, 65.5017, 5.19831, 2.86265
1928953, 61.9877, 65.4128, 4.97794, 2.7095
1944972, 62.0272, 65.6497, 4.88524, 2.6754
1960994, 62.2147, 65.6497, 4.85982, 2.58874
1977005, 62.8859, 65.7879, 4.67046, 2.55081
1993056, 62.2345, 65.1957, 4.5848, 2.46856
